make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb(l/100km),fuel_consumption_comb(mpg),co2_emissions
7,767,12,3.6,6,0,3,14.6,10.2,12.6,22,290
7,768,11,1.4,4,2,3,9.5,7.2,8.5,33,196
7,772,11,1.4,4,2,3,10.2,8.0,9.2,31,212
7,1123,2,3.6,6,2,3,13.7,8.7,11.5,25,264
7,1123,2,3.6,6,2,1,18.4,12.2,15.6,18,250
7,1124,2,3.6,6,2,3,13.7,8.9,11.5,25,264
7,1124,2,3.6,6,2,1,19.4,13.0,16.5,17,264
7,1127,2,2.4,4,2,3,9.6,6.5,8.2,34,189
7,1501,2,2.0,4,2,4,11.5,7.9,9.9,29,228
7,1501,2,2.0,4,4,4,11.6,7.5,9.8,29,225
7,1502,2,2.0,4,2,4,12.3,8.7,10.7,26,246
7,1503,2,2.4,4,2,3,9.6,6.5,8.2,34,189
7,1879,0,2.0,4,2,4,11.5,7.9,9.9,29,228
7,1879,0,2.0,4,4,4,11.6,7.5,9.8,29,225
7,1879,0,2.4,4,2,3,11.3,7.4,9.5,30,218
8,360,0,2.0,4,2,4,11.3,7.5,9.6,29,221
8,360,0,2.0,4,4,4,12.1,7.9,10.2,28,235
8,360,0,2.5,4,2,3,10.5,7.2,9.0,31,207
8,360,0,3.6,6,2,3,12.8,8.5,10.9,26,251
8,361,0,2.0,4,2,4,11.8,8.1,10.1,28,232
8,361,0,3.6,6,2,3,13.1,9.0,11.3,25,260
8,585,2,3.6,6,2,3,13.2,8.7,11.2,25,258
8,586,2,3.6,6,2,3,13.3,9.0,11.4,25,262
8,587,2,2.0,4,2,4,11.9,7.9,10.1,28,232
8,587,2,3.6,6,2,3,12.9,8.2,10.8,26,248
8,588,2,2.0,4,2,4,12.6,8.5,10.8,26,248
8,588,2,3.6,6,2,3,13.1,9.0,11.3,25,260
8,589,2,3.6,6,2,4,15.1,9.9,12.8,22,294
8,590,9,3.0,6,2,3,12.7,8.9,11.0,26,253
8,590,9,3.6,6,2,3,13.3,8.9,11.3,25,260
8,591,9,3.0,6,2,3,12.8,9.1,11.1,25,255
8,591,9,3.6,6,2,3,13.3,9.0,11.4,25,262
8,594,2,6.2,8,2,4,19.7,12.9,16.6,17,382
8,594,2,6.2,8,4,4,16.7,12.5,14.8,19,340
8,595,2,6.2,8,2,4,19.7,12.9,16.6,17,382
8,595,2,6.2,8,4,4,16.7,12.5,14.8,19,340
8,596,9,6.2,8,2,4,19.7,12.9,16.6,17,382
8,596,9,6.2,8,4,4,16.7,12.5,14.8,19,340
8,789,12,6.2,8,0,4,17.0,11.8,14.7,19,338
8,789,12,6.2,8,0,1,23.3,16.1,20.1,14,322
8,791,12,6.2,8,0,4,18.8,13.4,16.4,17,377
8,791,12,6.2,8,0,1,25.7,17.8,22.1,13,354
8,1692,12,3.6,6,2,3,14.3,9.8,12.3,23,283
8,1693,12,3.6,6,2,3,14.8,10.4,12.8,22,294
8,2012,1,3.6,6,2,3,13.6,8.6,11.4,25,262
8,2013,1,3.6,6,2,3,14.0,9.1,11.8,24,271
8,2014,1,3.6,6,2,4,14.8,9.8,12.6,22,290
9,439,0,3.6,6,2,3,13.2,8.7,11.2,25,258
9,439,0,3.6,6,4,3,14.2,8.6,11.7,24,269
9,440,0,3.6,6,2,3,12.7,7.9,10.5,27,242
9,441,0,6.2,8,2,4,15.3,9.8,12.8,22,294
9,441,0,6.2,8,4,4,15.0,9.9,12.7,22,292
9,443,0,6.2,8,2,4,19.7,12.9,16.6,17,382
9,443,0,6.2,8,4,4,16.7,12.5,14.8,19,340
9,556,13,6.2,8,2,4,14.9,8.5,12.0,24,276
9,556,13,6.2,8,4,4,13.7,8.2,11.2,25,258
9,563,2,1.4,4,2,3,9.1,6.3,7.8,36,179
9,563,2,1.4,4,4,3,9.1,6.3,7.8,36,179
9,563,2,1.8,4,2,3,10.5,6.7,8.8,32,202
9,563,2,1.8,4,4,3,9.5,6.5,8.2,34,189
9,564,2,2.0,4,2,0,8.7,5.1,7.1,40,192
9,565,2,1.4,4,0,3,9.1,6.0,7.7,37,177
9,565,2,1.4,4,4,3,8.4,5.6,7.1,40,163
9,780,11,2.4,4,0,3,10.5,7.3,9.1,31,209
9,780,11,3.6,6,0,3,13.9,9.6,12.0,24,276
9,780,11,3.6,6,0,1,18.8,13.1,16.2,17,259
9,781,11,2.4,4,0,3,11.5,8.2,10.0,28,230
9,781,11,3.6,6,0,3,14.8,9.9,12.6,22,290
9,781,11,3.6,6,0,1,19.8,13.6,17.0,17,272
9,804,14,4.3,6,0,3,17.1,12.7,15.1,19,347
9,804,14,5.3,8,0,3,18.0,13.4,15.9,18,366
9,804,14,5.3,8,0,1,23.5,17.7,20.9,14,334
9,805,14,5.3,8,0,3,18.3,14.2,16.5,17,380
9,805,14,5.3,8,0,1,23.7,18.8,21.5,13,344
9,806,14,5.3,8,0,3,18.6,13.9,16.5,17,380
9,806,14,5.3,8,0,1,23.9,18.5,21.5,13,344
9,807,14,5.3,8,0,3,18.3,14.2,16.5,17,380
9,807,14,5.3,8,0,1,25.3,19.3,22.6,12,362
9,808,15,5.3,8,0,3,18.6,13.9,16.5,17,380
9,808,15,5.3,8,0,1,23.9,18.5,21.5,13,344
9,809,15,5.3,8,0,3,18.3,14.2,16.5,17,380
9,809,15,5.3,8,0,1,25.3,19.3,22.6,12,362
9,810,15,4.8,8,0,3,21.1,14.2,18.0,16,414
9,810,15,6.0,8,0,3,21.9,15.0,18.8,15,432
9,810,15,6.0,8,0,1,30.0,20.4,25.7,11,411
9,812,15,4.8,8,0,3,21.3,14.3,18.2,16,419
9,812,15,6.0,8,0,3,22.1,15.0,18.9,15,435
9,812,15,6.0,8,0,1,30.2,20.5,25.8,11,413
9,1059,1,2.5,4,2,3,11.3,7.5,9.6,29,221
9,1059,1,3.6,6,2,3,12.6,8.2,10.6,27,244
9,1059,1,3.6,6,2,1,16.7,11.3,14.3,20,229
9,1061,1,2.4,4,2,3,10.0,7.0,8.7,32,200
9,1215,2,2.0,4,2,4,11.5,7.9,9.9,29,228
9,1215,2,2.5,4,2,3,9.3,6.4,8.0,35,184
9,1331,11,2.4,4,2,3,12.2,8.6,10.6,27,244
9,1331,11,2.4,4,4,3,11.8,8.3,10.2,28,235
9,1651,6,4.3,6,0,3,13.4,9.9,11.8,24,271
9,1651,6,4.3,6,0,1,18.9,14.2,16.8,17,269
9,1651,6,5.3,8,0,3,14.6,10.3,12.7,22,292
9,1651,6,5.3,8,0,1,19.5,13.7,16.9,17,270
9,1651,6,6.2,8,0,4,16.3,11.4,14.1,20,324
9,1652,6,4.3,6,0,3,14.2,10.6,12.6,22,290
9,1652,6,4.3,6,0,1,20.0,15.1,17.8,16,285
9,1652,6,5.3,8,0,3,14.9,10.6,13.0,22,299
9,1652,6,5.3,8,0,1,19.9,14.2,17.3,16,277
9,1652,6,6.2,8,0,4,16.4,11.7,14.3,20,329
9,1675,0,1.4,4,2,3,9.1,6.7,8.0,35,184
9,1675,0,1.4,4,4,3,8.5,6.2,7.5,38,173
9,1675,0,1.8,4,2,3,9.6,6.6,8.3,34,191
9,1675,0,1.8,4,4,3,8.9,6.7,7.9,36,182
9,1678,0,1.4,4,2,3,9.4,7.0,8.3,34,191
9,1678,0,1.4,4,4,3,8.8,7.0,8.0,35,184
9,1676,2,1.4,4,2,3,9.1,6.7,8.0,35,184
9,1676,2,1.4,4,4,3,8.5,6.2,7.5,38,172
9,1676,2,1.8,4,2,3,9.6,6.6,8.3,34,191
9,1676,2,1.8,4,4,3,8.9,6.7,7.9,36,182
9,1677,2,1.4,4,2,3,9.4,7.0,8.3,34,191
9,1677,2,1.4,4,4,3,8.8,7.0,8.0,35,184
9,1687,10,1.2,4,3,3,7.7,6.0,6.9,41,159
9,1687,10,1.2,4,4,3,7.6,6.0,6.9,41,159
9,1697,12,5.3,8,0,3,16.0,11.1,13.8,20,317
9,1697,12,5.3,8,0,1,21.5,14.6,18.4,15,294
9,1698,12,5.3,8,0,3,16.0,11.1,13.8,20,317
9,1698,12,5.3,8,0,1,21.5,14.6,18.4,15,294
9,1762,12,5.3,8,0,3,16.0,11.1,13.8,20,317
9,1762,12,5.3,8,0,1,21.5,14.6,18.4,15,294
9,1763,12,5.3,8,0,3,16.0,11.1,13.8,20,317
9,1763,12,5.3,8,0,1,21.5,14.6,18.4,15,294
9,1797,12,3.6,6,0,3,14.3,9.9,12.3,23,283
9,1798,12,3.6,6,0,3,14.6,10.2,12.6,22,290
9,1799,11,1.4,4,2,3,9.4,7.1,8.4,34,193
9,1799,11,1.4,4,4,3,9.1,6.8,8.1,35,186
9,1801,11,1.4,4,2,3,10.0,7.8,9.0,31,207
10,47,1,3.6,6,0,3,12.4,7.7,10.3,27,237
10,28,0,2.4,4,0,3,11.7,8.2,10.1,28,232
10,28,0,2.4,4,0,3,12.9,8.1,10.7,26,246
10,29,0,3.6,6,0,3,12.5,8.1,10.5,27,242
10,29,0,3.6,6,0,1,17.0,11.2,14.4,20,230
10,31,2,2.4,4,0,3,11.2,8.0,9.8,29,225
10,31,2,2.4,4,0,3,12.0,7.6,10.0,28,230
10,32,2,3.6,6,0,3,12.5,8.1,10.5,27,242
10,32,2,3.6,6,0,1,17.0,11.2,14.4,20,230
10,48,1,5.7,8,0,3,15.8,9.2,12.8,22,294
10,49,1,3.6,6,0,3,12.8,8.6,10.9,26,251
10,50,1,5.7,8,0,3,16.1,10.0,13.4,21,308
10,51,1,3.6,6,0,3,12.8,8.6,10.9,26,251
10,51,1,3.6,6,0,1,17.3,11.7,14.8,19,237
10,52,1,3.6,6,0,3,12.4,7.7,10.3,27,237
10,52,1,3.6,6,0,1,16.8,10.3,13.9,20,222
10,53,1,6.4,8,0,4,16.7,10.3,13.8,20,317
10,1787,4,3.6,6,0,3,14.1,9.5,12.0,24,276
10,1787,4,3.6,6,0,1,19.7,13.3,16.8,17,269
11,364,2,2.4,4,0,3,11.2,8.0,9.8,29,225
11,364,2,2.4,4,0,3,12.0,7.6,10.0,28,230
11,365,2,3.6,6,0,3,12.5,8.1,10.5,27,242
11,365,2,3.6,6,0,1,17.0,11.2,14.4,20,230
11,467,2,3.6,6,0,3,13.2,8.7,11.2,25,258
11,467,2,5.7,8,4,3,15.6,10.0,13.1,22,301
11,468,2,5.7,8,0,3,15.8,9.2,12.8,22,294
11,472,2,6.4,8,4,4,16.8,10.4,13.9,20,320
11,473,2,6.4,8,0,4,16.7,10.3,13.8,20,317
11,476,1,3.6,6,0,3,13.2,8.7,11.2,25,258
11,476,1,3.6,6,0,3,12.4,7.7,10.3,27,237
11,477,1,5.7,8,0,3,15.8,9.2,12.8,22,294
11,478,1,3.6,6,0,3,12.8,8.6,10.9,26,251
11,479,1,5.7,8,0,3,16.1,10.0,13.4,21,308
11,480,1,3.6,6,0,3,12.8,8.6,10.9,26,251
11,480,1,3.6,6,0,1,17.3,11.7,14.8,19,237
11,481,1,3.6,6,0,3,13.2,8.7,11.2,25,258
11,481,1,3.6,6,0,1,18.3,12.6,15.7,18,251
11,481,1,3.6,6,0,3,12.3,7.6,10.2,28,235
11,481,1,3.6,6,0,1,16.8,10.3,13.9,20,222
11,482,1,6.4,8,0,4,16.7,10.3,13.8,20,317
11,700,2,2.0,4,4,3,9.4,6.5,8.1,35,186
11,700,2,2.4,4,0,3,10.1,6.8,8.6,33,198
11,700,2,2.4,4,4,3,10.5,6.7,8.8,32,202
11,701,2,2.0,4,0,3,9.9,7.0,8.6,33,198
11,701,2,2.0,4,0,1,14.2,9.8,12.2,23,195
11,702,2,2.4,4,0,3,10.6,7.5,9.2,31,212
11,702,2,2.4,4,4,3,10.2,7.0,8.8,32,202
11,703,2,1.4,4,1,3,8.4,5.9,7.3,39,168
11,703,2,1.4,4,4,3,8.5,5.8,7.3,39,168
11,713,12,5.7,8,0,3,17.3,10.8,14.4,20,331
11,714,12,3.6,6,0,3,13.9,9.8,12.1,23,278
11,714,12,3.6,6,0,1,17.7,13.0,15.6,18,250
11,989,4,3.6,6,0,3,13.7,9.4,11.8,24,271
11,989,4,3.6,6,0,1,19.2,13.1,16.5,17,264
11,1100,11,2.4,4,0,3,12.7,9.1,11.1,25,255
11,1101,11,3.6,6,0,3,14.5,9.9,12.4,23,285
11,1102,11,3.6,6,0,3,14.2,9.4,12.0,24,276
11,1102,11,3.6,6,0,1,18.9,12.9,16.2,17,259
12,125,3,1.4,4,4,3,8.5,6.9,7.8,36,179
12,126,3,1.4,4,4,3,8.5,6.9,7.8,36,179
12,127,3,1.4,4,0,3,8.7,6.9,7.9,36,182
12,127,3,1.4,4,4,3,7.9,6.3,7.2,39,166
12,128,3,1.4,4,4,3,8.5,6.9,7.8,36,179
12,129,3,1.4,4,0,3,8.7,6.9,7.9,36,182
12,129,3,1.4,4,4,3,7.6,5.9,6.8,42,156
12,130,3,1.4,4,4,3,8.5,6.9,7.8,36,179
12,132,9,1.4,4,1,3,10.0,7.2,8.7,32,200
12,132,9,1.4,4,4,3,9.3,7.2,8.4,34,193
13,437,1,2.0,4,3,3,5.6,6.4,6.0,47,138
13,751,14,4.6,8,0,3,17.7,14.4,16.2,17,373
13,751,14,4.6,8,0,1,24.1,19.2,21.9,13,350
13,751,14,5.4,8,0,3,19.3,14.7,17.2,16,396
13,751,14,5.4,8,0,1,24.9,19.6,22.5,13,360
13,752,15,4.6,8,0,3,18.6,14.6,16.8,17,386
13,752,15,4.6,8,0,1,25.5,20.0,23.0,12,368
13,753,15,6.8,10,0,3,23.9,17.8,21.2,13,488
13,754,15,5.4,8,0,3,20.6,15.5,18.3,15,421
13,754,15,5.4,8,0,1,26.7,20.5,23.9,12,382
13,759,11,2.0,4,0,3,11.3,7.9,9.8,29,225
13,759,11,3.5,6,2,3,12.6,8.7,10.8,26,248
13,761,11,3.5,6,2,3,13.3,9.3,11.5,25,264
13,761,11,3.7,6,2,3,13.7,10.4,12.2,23,281
13,792,11,1.6,4,2,3,10.4,7.4,9.1,31,209
13,792,11,2.0,4,2,3,10.9,8.0,9.6,29,221
13,792,11,2.5,4,2,3,10.9,7.5,9.4,30,216
13,793,11,1.6,4,2,3,10.5,7.9,9.3,30,214
13,793,11,2.0,4,2,3,11.2,8.5,10.0,28,230
13,796,12,5.4,8,0,3,18.2,13.3,16.0,18,368
13,796,12,5.4,8,0,1,24.5,18.0,21.6,13,346
13,799,12,2.0,4,0,3,11.8,8.3,10.2,28,235
13,800,12,3.5,6,2,3,14.8,10.7,13.0,22,299
13,802,12,3.5,6,2,3,13.7,9.7,11.9,24,274
13,802,12,3.5,6,2,1,18.3,12.9,15.9,18,254
13,803,12,3.5,6,2,3,14.3,10.3,12.5,23,288
13,803,12,3.5,6,2,1,18.9,13.9,16.7,17,267
13,843,6,3.5,6,0,3,14.5,10.6,12.7,22,292
13,843,6,3.5,6,2,3,14.6,10.6,12.8,22,294
13,843,6,6.2,8,2,3,18.3,12.9,15.9,18,366
13,846,6,3.5,6,0,3,15.9,11.3,13.8,20,317
13,846,6,3.5,6,2,3,15.4,11.0,13.4,21,308
13,846,6,6.2,8,2,3,20.1,14.4,17.5,16,402
13,851,6,3.7,6,0,3,14.0,10.3,12.3,23,283
13,851,6,3.7,6,0,1,18.8,13.7,16.5,17,264
13,851,6,3.7,6,2,3,14.0,10.3,12.3,23,283
13,851,6,3.7,6,2,1,18.8,13.7,16.5,17,264
13,851,6,5.0,8,0,3,16.4,12.3,14.6,19,336
13,851,6,5.0,8,0,1,22.1,16.7,19.7,14,315
13,851,6,5.0,8,2,3,16.4,12.3,14.6,19,336
13,851,6,5.0,8,2,1,22.1,16.7,19.7,14,315
13,854,6,3.7,6,0,3,15.0,11.4,13.4,21,308
13,854,6,3.7,6,0,1,20.2,15.3,18.0,16,288
13,854,6,3.7,6,2,3,15.0,11.4,13.4,21,308
13,854,6,3.7,6,2,1,20.2,15.3,18.0,16,288
13,854,6,5.0,8,0,3,16.8,12.6,14.9,19,343
13,854,6,5.0,8,0,1,22.4,17.0,20.0,14,320
13,854,6,5.0,8,2,3,16.7,12.5,14.8,19,340
13,854,6,5.0,8,2,1,22.4,16.9,19.9,14,318
13,858,6,6.2,8,2,3,20.4,15.0,18.0,16,414
13,895,10,1.6,4,2,3,8.5,6.5,7.6,37,175
13,895,10,1.6,4,4,3,8.6,6.4,7.6,37,175
13,896,10,1.0,4,4,3,7.5,5.5,6.6,43,152
13,896,10,1.6,4,2,3,8.0,5.8,7.0,40,161
13,897,0,1.6,4,4,3,8.9,6.8,8.0,35,184
13,900,12,3.5,6,2,3,13.2,9.4,11.5,25,264
13,901,12,3.5,6,2,3,13.7,10.2,12.1,23,278
13,902,12,3.5,6,2,3,14.8,10.4,12.8,22,294
13,905,0,2.0,4,4,3,10.2,7.4,8.9,32,205
13,907,0,2.0,4,0,3,8.8,6.4,7.7,37,177
13,907,0,2.0,4,0,1,11.7,8.5,10.3,27,165
13,907,0,2.0,4,2,3,8.9,6.4,7.8,36,179
13,907,0,2.0,4,2,1,11.7,8.5,10.3,27,165
13,907,0,2.0,4,4,3,9.1,6.6,8.0,35,184
13,907,0,2.0,4,4,1,11.9,8.9,10.6,27,170
13,909,0,2.0,4,0,3,8.4,5.8,7.2,39,166
13,909,0,2.0,4,0,1,11.6,8.3,10.1,28,162
13,922,2,1.5,4,2,3,10.1,6.6,8.5,33,196
13,922,2,1.6,4,4,3,9.4,6.4,8.1,35,186
13,922,2,2.0,4,2,3,10.5,7.1,9.0,31,207
13,922,2,2.5,4,2,3,10.5,7.0,8.9,32,205
13,923,2,1.5,4,2,3,9.5,6.3,8.1,35,186
13,924,2,2.0,4,2,3,10.9,7.5,9.4,30,216
13,925,2,2.0,4,3,3,5.3,5.7,5.5,51,126
13,1265,10,3.7,6,0,3,12.1,7.8,10.2,28,235
13,1265,10,3.7,6,4,3,12.7,8.1,10.6,27,244
13,1265,10,5.0,8,0,3,13.3,9.3,11.5,25,264
13,1265,10,5.0,8,4,3,15.4,9.4,12.7,22,292
13,1265,10,5.8,8,4,4,15.9,9.9,13.2,21,304
13,1267,10,3.7,6,0,3,12.5,8.2,10.6,27,244
13,1766,1,2.0,4,2,3,10.5,7.3,9.1,31,209
13,1767,1,3.5,6,2,3,13.7,9.4,11.8,24,271
13,1768,1,3.5,6,2,3,12.1,8.1,10.3,27,237
13,1768,1,3.5,6,2,1,17.0,11.1,14.3,20,229
13,1769,1,3.5,6,2,3,13.0,9.1,11.2,25,258
